,Price,From,To,is_holiday,avialine,duration,days_until_flight,part_of_day
0,37864,Алматы,Атырау,False,Air Astana,200,3,вечер
1,37864,Алматы,Атырау,False,Air Astana,195,3,утро
2,37864,Алматы,Атырау,False,Air Astana,195,6,утро
3,28356,Алматы,Атырау,False,Air Astana,195,7,утро
4,29220,Алматы,Атырау,False,SCAT,190,7,утро
5,37864,Алматы,Атырау,False,Air Astana,200,7,вечер
6,28356,Алматы,Атырау,False,Air Astana,200,7,ночь
7,34020,Алматы,Атырау,False,SCAT,190,8,утро
8,37864,Алматы,Атырау,False,Air Astana,200,8,ночь
9,37864,Алматы,Атырау,False,Air Astana,200,8,вечер
10,37864,Алматы,Атырау,False,Air Astana,195,8,утро
11,39499,Алматы,Атырау,False,FlyArystan,200,8,день
14,34339,Алматы,Атырау,False,Air Astana,200,28,ночь
15,34720,Алматы,Атырау,False,SCAT,190,29,утро
16,41519,Алматы,Атырау,False,Air Astana,200,29,ночь
18,30720,Алматы,Атырау,False,SCAT,190,31,утро
19,40339,Алматы,Атырау,False,Air Astana,200,31,вечер
21,40339,Алматы,Атырау,False,Air Astana,195,32,утро
22,34720,Алматы,Атырау,False,SCAT,190,33,утро
24,40339,Алматы,Атырау,False,Air Astana,195,34,утро
25,25113,Алматы,Атырау,False,FlyArystan,200,36,день
26,34720,Алматы,Атырау,False,SCAT,190,36,утро
27,40339,Алматы,Атырау,False,Air Astana,200,36,ночь
28,35177,Алматы,Атырау,False,SCAT,190,38,утро
30,34720,Алматы,Атырау,False,SCAT,190,40,утро
31,40339,Алматы,Атырау,False,Air Astana,200,42,вечер
32,23599,Алматы,Атырау,False,FlyArystan,200,43,день
33,34720,Алматы,Атырау,False,SCAT,190,43,утро
34,40339,Алматы,Атырау,False,Air Astana,200,43,ночь
35,40339,Алматы,Атырау,False,Air Astana,200,44,вечер
36,33758,Алматы,Атырау,False,SCAT,190,45,утро
37,41519,Алматы,Атырау,False,Air Astana,200,45,вечер
38,34720,Алматы,Атырау,False,SCAT,190,47,утро
39,40339,Алматы,Атырау,False,Air Astana,200,49,вечер
40,23599,Алматы,Атырау,False,FlyArystan,210,50,ночь
41,34720,Алматы,Атырау,False,SCAT,190,50,утро
42,40339,Алматы,Атырау,False,Air Astana,200,50,ночь
43,40339,Алматы,Атырау,False,Air Astana,200,51,вечер
44,27821,Алматы,Атырау,False,SCAT,190,52,утро
45,41519,Алматы,Атырау,False,Air Astana,200,52,вечер
47,30720,Алматы,Атырау,False,SCAT,190,54,утро
49,40339,Алматы,Атырау,False,Air Astana,200,56,вечер
50,26220,Алматы,Атырау,False,SCAT,190,57,утро
51,40339,Алматы,Атырау,False,Air Astana,200,57,ночь
52,41519,Алматы,Атырау,False,Air Astana,200,58,вечер
53,23599,Алматы,Атырау,False,FlyArystan,205,59,день
54,26220,Алматы,Атырау,False,SCAT,190,59,утро
55,40339,Алматы,Атырау,False,Air Astana,200,59,вечер
57,26779,Алматы,Атырау,False,FlyArystan,215,61,вечер
58,41519,Алматы,Атырау,False,Air Astana,200,63,вечер
59,26220,Алматы,Атырау,False,SCAT,190,64,утро
60,41519,Алматы,Атырау,False,Air Astana,200,64,ночь
61,40339,Алматы,Атырау,False,Air Astana,200,65,вечер
62,24657,Алматы,Атырау,False,FlyArystan,205,66,день
63,30720,Алматы,Атырау,False,SCAT,190,66,утро
64,40339,Алматы,Атырау,False,Air Astana,200,66,вечер
66,30720,Алматы,Атырау,False,SCAT,190,68,утро
67,40339,Алматы,Атырау,False,Air Astana,200,70,вечер
68,21479,Алматы,Атырау,False,FlyArystan,210,71,ночь
69,26220,Алматы,Атырау,False,SCAT,190,71,утро
70,40339,Алматы,Атырау,False,Air Astana,200,71,ночь
71,40339,Алматы,Атырау,False,Air Astana,200,72,вечер
72,25648,Алматы,Атырау,False,SCAT,190,73,утро
73,40339,Алматы,Атырау,False,Air Astana,200,73,вечер
74,30234,Алматы,Астана,True,FlyArystan,115,1,утро
75,30966,Алматы,Астана,True,Air Astana,110,1,вечер
76,30234,Алматы,Астана,True,FlyArystan,110,1,день
77,30966,Алматы,Астана,True,Air Astana,105,1,утро
78,30966,Алматы,Астана,True,Air Astana,110,1,вечер
79,31660,Алматы,Астана,True,Air Astana,110,1,утро
80,41720,Алматы,Астана,True,SCAT,100,1,утро
81,41720,Алматы,Астана,True,SCAT,95,1,утро
83,37720,Алматы,Астана,False,SCAT,100,2,утро
84,29429,Алматы,Астана,False,FlyArystan,110,2,вечер
85,29429,Алматы,Астана,False,FlyArystan,110,2,день
86,29898,Алматы,Астана,False,Air Astana,110,2,ночь
87,29898,Алматы,Астана,False,Air Astana,110,2,ночь
88,30966,Алматы,Астана,False,Air Astana,110,2,вечер
89,30966,Алматы,Астана,False,Air Astana,110,2,день
90,30966,Алматы,Астана,False,Air Astana,110,2,вечер
91,33720,Алматы,Астана,False,SCAT,105,2,день
92,21356,Алматы,Астана,False,Air Astana,105,3,день
93,26220,Алматы,Астана,False,SCAT,100,3,утро
94,29429,Алматы,Астана,False,FlyArystan,110,3,вечер
95,26220,Алматы,Астана,False,SCAT,100,3,день
96,26220,Алматы,Астана,False,SCAT,105,3,день
97,26220,Алматы,Астана,False,SCAT,100,3,день
98,26220,Алматы,Астана,False,SCAT,95,3,утро
99,27229,Алматы,Астана,False,Air Astana,110,3,день
100,29429,Алматы,Астана,False,FlyArystan,115,3,утро
101,24220,Алматы,Астана,False,SCAT,100,4,день
102,25627,Алматы,Астана,False,Air Astana,105,4,утро
103,29429,Алматы,Астана,False,FlyArystan,110,4,вечер
104,24220,Алматы,Астана,False,SCAT,100,4,ночь
105,24220,Алматы,Астана,False,SCAT,95,4,утро
106,25627,Алматы,Астана,False,Air Astana,110,4,утро
107,25627,Алматы,Астана,False,Air Astana,105,4,день
108,25627,Алматы,Астана,False,Air Astana,110,4,день
109,25627,Алматы,Астана,False,Air Astana,110,4,утро
110,25627,Алматы,Астана,False,Air Astana,110,4,утро
111,23491,Алматы,Астана,False,Air Astana,110,5,утро
112,29720,Алматы,Астана,False,SCAT,105,5,вечер
113,25627,Алматы,Астана,False,Air Astana,105,5,утро
114,25627,Алматы,Астана,False,Air Astana,110,5,утро
115,26220,Алматы,Астана,False,SCAT,95,5,утро
116,26220,Алматы,Астана,False,SCAT,100,5,день
117,26220,Алматы,Астана,False,SCAT,105,5,день
118,26220,Алматы,Астана,False,SCAT,100,5,день
119,27138,Алматы,Астана,False,Qazaq Air,140,5,ночь
120,20720,Алматы,Астана,False,SCAT,100,6,день
121,26220,Алматы,Астана,False,SCAT,100,6,утро
122,26220,Алматы,Астана,False,SCAT,105,6,вечер
123,22720,Алматы,Астана,False,SCAT,100,6,день
124,26220,Алматы,Астана,False,SCAT,100,6,день
125,26220,Алматы,Астана,False,SCAT,95,6,утро
126,26220,Алматы,Астана,False,SCAT,105,6,день
127,26220,Алматы,Астана,False,SCAT,100,6,день
128,26220,Алматы,Астана,False,SCAT,90,6,вечер
129,25520,Алматы,Астана,False,SCAT,95,7,утро
130,29898,Алматы,Астана,False,Air Astana,110,7,утро
131,27009,Алматы,Астана,False,SCAT,105,7,вечер
132,27009,Алматы,Астана,False,SCAT,100,7,день
133,29109,Алматы,Астана,False,Qazaq Air,140,7,ночь
134,29720,Алматы,Астана,False,SCAT,100,7,утро
135,29720,Алматы,Астана,False,SCAT,105,7,день
136,29898,Алматы,Астана,False,Air Astana,105,7,утро
137,29898,Алматы,Астана,False,Air Astana,110,7,утро
138,29898,Алматы,Астана,False,Air Astana,105,7,день
139,19920,Алматы,Астана,False,SCAT,105,8,вечер
140,24659,Алматы,Астана,False,FlyArystan,115,8,утро
141,20620,Алматы,Астана,False,SCAT,100,8,день
142,20620,Алматы,Астана,False,SCAT,95,8,утро
143,22720,Алматы,Астана,False,SCAT,100,8,день
144,22720,Алматы,Астана,False,SCAT,105,8,день
145,24413,Алматы,Астана,False,Air Astana,105,8,день
146,24659,Алматы,Астана,False,FlyArystan,110,8,вечер
147,24659,Алматы,Астана,False,FlyArystan,110,8,день
148,19920,Алматы,Астана,False,SCAT,95,10,утро
149,22720,Алматы,Астана,False,SCAT,100,10,утро
150,22720,Алматы,Астана,False,SCAT,150,10,вечер
151,21356,Алматы,Астана,False,Air Astana,110,10,утро
152,21356,Алматы,Астана,False,Air Astana,105,10,утро
153,22170,Алматы,Астана,False,SCAT,100,10,день
154,22720,Алматы,Астана,False,SCAT,100,10,день
155,22720,Алматы,Астана,False,SCAT,105,10,день
156,23491,Алматы,Астана,False,Air Astana,105,10,день
157,24159,Алматы,Астана,False,SCAT,140,11,утро
158,26220,Алматы,Астана,False,SCAT,80,11,вечер
159,25627,Алматы,Астана,False,Air Astana,110,11,утро
160,25627,Алматы,Астана,False,Air Astana,105,11,утро
161,25627,Алматы,Астана,False,Air Astana,110,11,утро
162,26220,Алматы,Астана,False,SCAT,105,11,день
163,26220,Алматы,Астана,False,SCAT,95,11,утро
164,29898,Алматы,Астана,False,Air Astana,105,11,день
165,29898,Алматы,Астана,False,Air Astana,105,11,день
166,29898,Алматы,Астана,False,Air Astana,110,11,утро
167,27329,Алматы,Астана,False,SCAT,100,12,день
168,29720,Алматы,Астана,False,SCAT,100,12,утро
169,27329,Алматы,Астана,False,SCAT,105,12,вечер
170,27629,Алматы,Астана,False,SCAT,95,12,утро
171,29898,Алматы,Астана,False,Air Astana,110,12,утро
172,29898,Алматы,Астана,False,Air Astana,110,12,утро
173,29898,Алматы,Астана,False,Air Astana,110,12,утро
174,29898,Алматы,Астана,False,Air Astana,105,12,утро
175,29898,Алматы,Астана,False,Air Astana,110,12,ночь
176,29898,Алматы,Астана,False,Air Astana,110,13,ночь
177,29898,Алматы,Астана,False,Air Astana,110,13,утро
178,29898,Алматы,Астана,False,Air Astana,105,13,утро
179,29898,Алматы,Астана,False,Air Astana,110,13,утро
180,30613,Алматы,Астана,False,SCAT,100,13,день
181,30913,Алматы,Астана,False,SCAT,105,13,вечер
182,30913,Алматы,Астана,False,SCAT,95,13,утро
183,33720,Алматы,Астана,False,SCAT,125,13,вечер
184,37720,Алматы,Астана,False,SCAT,100,13,утро
185,29898,Алматы,Астана,False,Air Astana,110,14,утро
186,29898,Алматы,Астана,False,Air Astana,105,14,ночь
187,29898,Алматы,Астана,False,Air Astana,110,14,утро
188,29898,Алматы,Астана,False,Air Astana,110,14,вечер
189,29898,Алматы,Астана,False,Air Astana,110,14,ночь
190,29898,Алматы,Астана,False,Air Astana,105,14,утро
191,29898,Алматы,Астана,False,Air Astana,110,14,утро
192,30913,Алматы,Астана,False,SCAT,100,14,день
193,30913,Алматы,Астана,False,SCAT,105,14,вечер
194,30913,Алматы,Астана,False,SCAT,95,14,утро
195,29898,Алматы,Астана,False,Air Astana,110,15,утро
196,37720,Алматы,Астана,False,SCAT,100,15,утро
198,29898,Алматы,Астана,False,Air Astana,105,15,утро
199,37720,Алматы,Астана,False,SCAT,105,15,день
200,37720,Алматы,Астана,False,SCAT,100,15,день
201,37720,Алматы,Астана,False,SCAT,95,15,утро
202,41720,Алматы,Астана,False,SCAT,100,15,день
203,29898,Алматы,Астана,False,Air Astana,110,16,утро
204,37720,Алматы,Астана,False,SCAT,100,16,утро
205,30913,Алматы,Астана,False,SCAT,105,16,вечер
206,30613,Алматы,Астана,False,SCAT,95,16,утро
207,30613,Алматы,Астана,False,SCAT,100,16,день
208,22720,Алматы,Астана,True,SCAT,85,17,вечер
209,25620,Алматы,Астана,True,SCAT,100,17,утро
210,25620,Алматы,Астана,True,SCAT,105,17,вечер
211,25620,Алматы,Астана,True,SCAT,105,17,день
212,25620,Алматы,Астана,True,SCAT,95,17,утро
213,25620,Алматы,Астана,True,SCAT,100,17,день
214,25620,Алматы,Астана,True,SCAT,100,17,день
215,28489,Алматы,Астана,True,Air Astana,110,17,утро
216,28489,Алматы,Астана,True,Air Astana,105,17,утро
217,29109,Алматы,Астана,True,Qazaq Air,125,17,вечер
218,22720,Алматы,Астана,True,SCAT,75,18,день
