Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
38016,Алматы,Атырау,2024-12-16,2024-12-19 20:55,2024-12-20 00:15,False,False,20:55-00:15,Air Astana,200
38016,Алматы,Атырау,2024-12-16,2024-12-19 06:45,2024-12-19 10:00,False,False,06:45-10:00,Air Astana,195
39499,Алматы,Атырау,2024-12-16,2024-12-19 15:20,2024-12-19 18:45,False,False,15:20-18:45,FlyArystan,205
38016,Алматы,Атырау,2024-12-16,2024-12-22 06:45,2024-12-22 10:00,False,True,06:45-10:00,Air Astana,195
28469,Алматы,Атырау,2024-12-16,2024-12-23 06:45,2024-12-23 10:00,False,False,06:45-10:00,Air Astana,195
29220,Алматы,Атырау,2024-12-16,2024-12-23 09:20,2024-12-23 12:30,False,False,09:20-12:30,SCAT,190
38016,Алматы,Атырау,2024-12-16,2024-12-23 20:55,2024-12-24 00:15,False,False,20:55-00:15,Air Astana,200
28469,Алматы,Атырау,2024-12-16,2024-12-23 03:30,2024-12-23 06:50,False,False,03:30-06:50,Air Astana,200
34020,Алматы,Атырау,2024-12-16,2024-12-24 09:20,2024-12-24 12:30,False,False,09:20-12:30,SCAT,190
38016,Алматы,Атырау,2024-12-16,2024-12-24 22:35,2024-12-25 01:55,False,False,22:35-01:55,Air Astana,200
38016,Алматы,Атырау,2024-12-16,2024-12-24 20:55,2024-12-25 00:15,False,False,20:55-00:15,Air Astana,200
38016,Алматы,Атырау,2024-12-16,2024-12-24 06:45,2024-12-24 10:00,False,False,06:45-10:00,Air Astana,195
39499,Алматы,Атырау,2024-12-16,2024-12-24 16:00,2024-12-24 19:20,False,False,16:00-19:20,FlyArystan,200
71871,Алматы,Атырау,2024-12-16,2024-12-26 15:20,2024-12-26 18:45,False,False,15:20-18:45,FlyArystan,205
58573,Алматы,Атырау,2024-12-16,2025-01-01 20:55,2025-01-02 00:15,True,False,20:55-00:15,Air Astana,200
58573,Алматы,Атырау,2024-12-16,2025-01-01 06:45,2025-01-01 10:00,True,False,06:45-10:00,Air Astana,195
60603,Алматы,Атырау,2024-12-16,2025-01-02 22:35,2025-01-03 01:55,True,False,22:35-01:55,Air Astana,200
60603,Алматы,Атырау,2024-12-16,2025-01-02 20:55,2025-01-03 00:15,True,False,20:55-00:15,Air Astana,200
60603,Алматы,Атырау,2024-12-16,2025-01-02 06:45,2025-01-02 10:00,True,False,06:45-10:00,Air Astana,195
74634,Алматы,Атырау,2024-12-16,2025-01-02 15:20,2025-01-02 18:45,True,False,15:20-18:45,FlyArystan,205
58573,Алматы,Атырау,2024-12-16,2025-01-03 06:45,2025-01-03 10:00,False,False,06:45-10:00,Air Astana,195
