Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
15711,Астана,Алматы,2024-12-17,2024-12-17 22:10,2024-12-18 00:05,False,False,22:10-00:05,SCAT,115
18511,Астана,Алматы,2024-12-17,2024-12-17 00:15,2024-12-17 02:00,False,False,00:15-02:00,FlyArystan,105
24871,Астана,Алматы,2024-12-17,2024-12-17 12:25,2024-12-17 14:15,False,False,12:25-14:15,FlyArystan,110
24871,Астана,Алматы,2024-12-17,2024-12-17 19:05,2024-12-17 20:50,False,False,19:05-20:50,FlyArystan,105
24871,Астана,Алматы,2024-12-17,2024-12-17 21:20,2024-12-17 23:15,False,False,21:20-23:15,FlyArystan,115
25627,Астана,Алматы,2024-12-17,2024-12-17 19:25,2024-12-17 21:15,False,False,19:25-21:15,Air Astana,110
25627,Астана,Алматы,2024-12-17,2024-12-17 22:20,2024-12-18 00:15,False,False,22:20-00:15,Air Astana,115
26243,Астана,Алматы,2024-12-17,2024-12-17 19:10,2024-12-17 20:35,False,False,19:10-20:35,SCAT,85
28296,Астана,Алматы,2024-12-17,2024-12-17 20:40,2024-12-17 22:25,False,False,20:40-22:25,Air Astana,105
21356,Астана,Алматы,2024-12-15,2024-12-18 02:05,2024-12-18 03:55,False,False,02:05-03:55,Air Astana,110
20743,Астана,Алматы,2024-12-15,2024-12-18 22:10,2024-12-19 00:05,False,False,22:10-00:05,SCAT,115
21356,Астана,Алматы,2024-12-15,2024-12-18 16:10,2024-12-18 17:55,False,False,16:10-17:55,Air Astana,105
21356,Астана,Алматы,2024-12-15,2024-12-18 18:00,2024-12-18 19:50,False,False,18:00-19:50,Air Astana,110
21356,Астана,Алматы,2024-12-15,2024-12-18 22:20,2024-12-19 00:15,False,False,22:20-00:15,Air Astana,115
21356,Астана,Алматы,2024-12-15,2024-12-18 17:15,2024-12-18 18:50,False,False,17:15-18:50,Air Astana,95
20643,Астана,Алматы,2024-12-15,2024-12-18 19:10,2024-12-18 20:35,False,False,19:10-20:35,SCAT,85
22743,Астана,Алматы,2024-12-15,2024-12-18 12:05,2024-12-18 13:45,False,False,12:05-13:45,SCAT,100
22743,Астана,Алматы,2024-12-15,2024-12-18 14:55,2024-12-18 16:25,False,False,14:55-16:25,SCAT,90
21356,Астана,Алматы,2024-12-15,2024-12-19 02:05,2024-12-19 03:55,False,False,02:05-03:55,Air Astana,110
22743,Астана,Алматы,2024-12-15,2024-12-19 10:50,2024-12-19 12:30,False,False,10:50-12:30,SCAT,100
22743,Астана,Алматы,2024-12-15,2024-12-19 20:30,2024-12-19 22:30,False,False,20:30-22:30,SCAT,100
