Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
22071,Астана,Шымкент,2024-12-15,2024-12-16 08:10,2024-12-16 10:00,True,False,08:10-10:00,SCAT,110
24871,Астана,Шымкент,2024-12-15,2024-12-16 09:00,2024-12-16 11:30,True,False,09:00-11:30,FlyArystan,150
37554,Астана,Шымкент,2024-12-15,2024-12-16 11:00,2024-12-16 12:25,True,False,11:00-12:25,SCAT,85
37554,Астана,Шымкент,2024-12-15,2024-12-16 17:40,2024-12-16 19:30,True,False,17:40-19:30,SCAT,110
37554,Астана,Шымкент,2024-12-15,2024-12-16 14:10,2024-12-16 15:40,True,False,14:10-15:40,SCAT,90
37554,Астана,Шымкент,2024-12-15,2024-12-16 10:35,2024-12-16 12:15,True,False,10:35-12:15,SCAT,100
45514,Астана,Шымкент,2024-12-15,2024-12-16 23:20,2024-12-17 01:00,True,False,23:20-01:00,SCAT,100
38333,Астана,Шымкент,2024-12-15,2024-12-17 18:50,2024-12-17 20:40,False,False,18:50-20:40,SCAT,110
38333,Астана,Шымкент,2024-12-15,2024-12-17 23:20,2024-12-18 01:00,False,False,23:20-01:00,SCAT,100
27643,Астана,Шымкент,2024-12-15,2024-12-18 08:10,2024-12-18 10:00,False,False,08:10-10:00,SCAT,110
29594,Астана,Шымкент,2024-12-15,2024-12-18 23:20,2024-12-19 01:00,False,False,23:20-01:00,SCAT,100
33574,Астана,Шымкент,2024-12-15,2024-12-18 14:10,2024-12-18 15:40,False,False,14:10-15:40,SCAT,90
33574,Астана,Шымкент,2024-12-15,2024-12-18 10:30,2024-12-18 12:10,False,False,10:30-12:10,SCAT,100
33574,Астана,Шымкент,2024-12-15,2024-12-18 17:40,2024-12-18 19:30,False,False,17:40-19:30,SCAT,110
26243,Астана,Шымкент,2024-12-15,2024-12-19 23:20,2024-12-20 01:00,False,False,23:20-01:00,SCAT,100
29743,Астана,Шымкент,2024-12-15,2024-12-19 10:35,2024-12-19 12:15,False,False,10:35-12:15,SCAT,100
29743,Астана,Шымкент,2024-12-15,2024-12-19 17:40,2024-12-19 19:30,False,False,17:40-19:30,SCAT,110
29743,Астана,Шымкент,2024-12-15,2024-12-19 14:10,2024-12-19 15:40,False,False,14:10-15:40,SCAT,90
37743,Астана,Шымкент,2024-12-15,2024-12-19 08:10,2024-12-19 10:00,False,False,08:10-10:00,SCAT,110
29043,Астана,Шымкент,2024-12-15,2024-12-20 08:10,2024-12-20 10:00,False,False,08:10-10:00,SCAT,110
30943,Астана,Шымкент,2024-12-15,2024-12-20 23:20,2024-12-21 01:00,False,False,23:20-01:00,SCAT,100
33574,Астана,Шымкент,2024-12-15,2024-12-20 17:40,2024-12-20 19:30,False,False,17:40-19:30,SCAT,110
33574,Астана,Шымкент,2024-12-15,2024-12-20 10:30,2024-12-20 12:10,False,False,10:30-12:10,SCAT,100
36531,Астана,Шымкент,2024-12-15,2024-12-20 17:35,2024-12-20 19:30,False,False,17:35-19:30,FlyArystan,115
37554,Астана,Шымкент,2024-12-15,2024-12-20 14:10,2024-12-20 15:40,False,False,14:10-15:40,SCAT,90
34431,Астана,Шымкент,2024-12-15,2024-12-21 14:10,2024-12-21 15:40,False,True,14:10-15:40,SCAT,90
34431,Астана,Шымкент,2024-12-15,2024-12-21 08:10,2024-12-21 10:00,False,True,08:10-10:00,SCAT,110
34431,Астана,Шымкент,2024-12-15,2024-12-21 23:20,2024-12-22 01:00,False,True,23:20-01:00,SCAT,100
29743,Астана,Шымкент,2024-12-15,2024-12-22 14:10,2024-12-22 15:40,False,True,14:10-15:40,SCAT,90
29743,Астана,Шымкент,2024-12-15,2024-12-22 10:30,2024-12-22 12:10,False,True,10:30-12:10,SCAT,100
29743,Астана,Шымкент,2024-12-15,2024-12-22 23:20,2024-12-23 01:00,False,True,23:20-01:00,SCAT,100
29743,Астана,Шымкент,2024-12-15,2024-12-22 17:40,2024-12-22 19:30,False,True,17:40-19:30,SCAT,110
30234,Астана,Шымкент,2024-12-15,2024-12-22 22:50,2024-12-23 00:40,False,True,22:50-00:40,FlyArystan,110
37743,Астана,Шымкент,2024-12-15,2024-12-22 08:10,2024-12-22 10:00,False,True,08:10-10:00,SCAT,110
27779,Астана,Шымкент,2024-12-15,2024-12-23 08:10,2024-12-23 10:00,False,False,08:10-10:00,SCAT,110
29743,Астана,Шымкент,2024-12-15,2024-12-23 10:35,2024-12-23 12:15,False,False,10:35-12:15,SCAT,100
29743,Астана,Шымкент,2024-12-15,2024-12-23 23:20,2024-12-24 01:00,False,False,23:20-01:00,SCAT,100
27779,Астана,Шымкент,2024-12-15,2024-12-23 17:40,2024-12-23 19:30,False,False,17:40-19:30,SCAT,110
29743,Астана,Шымкент,2024-12-15,2024-12-23 14:10,2024-12-23 15:40,False,False,14:10-15:40,SCAT,90
33743,Астана,Шымкент,2024-12-15,2024-12-24 14:10,2024-12-24 15:40,False,False,14:10-15:40,SCAT,90
37743,Астана,Шымкент,2024-12-15,2024-12-24 08:10,2024-12-24 10:00,False,False,08:10-10:00,SCAT,110
35499,Астана,Шымкент,2024-12-15,2024-12-24 23:20,2024-12-25 01:00,False,False,23:20-01:00,SCAT,100
37743,Астана,Шымкент,2024-12-15,2024-12-25 08:10,2024-12-25 10:00,False,False,08:10-10:00,SCAT,110
41743,Астана,Шымкент,2024-12-15,2024-12-25 23:20,2024-12-26 01:00,False,False,23:20-01:00,SCAT,100
41251,Астана,Шымкент,2024-12-15,2024-12-26 23:20,2024-12-27 01:00,False,False,23:20-01:00,SCAT,100
42151,Астана,Шымкент,2024-12-15,2024-12-26 08:10,2024-12-26 10:00,False,False,08:10-10:00,SCAT,110
42151,Астана,Шымкент,2024-12-15,2024-12-26 14:10,2024-12-26 15:40,False,False,14:10-15:40,SCAT,90
53143,Астана,Шымкент,2024-12-15,2024-12-27 14:10,2024-12-27 15:40,False,False,14:10-15:40,SCAT,90
53143,Астана,Шымкент,2024-12-15,2024-12-27 23:20,2024-12-28 01:00,False,False,23:20-01:00,SCAT,100
53543,Астана,Шымкент,2024-12-15,2024-12-27 08:10,2024-12-27 10:00,False,False,08:10-10:00,SCAT,110
